assetId,assetTypeCode
700001,SVR
700002,SVR
700003,SVR
700004,SVR
700005,SVR
700006,SVR
700007,SVR
700008,SVR
700009,SVR
700010,SVR
700011,SVR
700012,SVR
700013,SVR
700014,SVR
700015,SVR
700016,SVR
700017,SVR
700018,SVR
700019,SVR
700020,SVR
700021,SVR
700022,SVR
700023,SVR
700024,SVR
700025,SVR
700026,SVR
700027,SVR
700028,SVR
700029,SVR
700030,SVR
700031,SVR
700032,SVR
700033,SVR
700034,SVR
700035,SVR
700036,SVR
700037,SVR
700038,SVR
700039,SVR
700040,SVR
700041,SVR
700042,SVR
700043,SVR
700044,SVR
700045,SVR
700046,SVR
700047,SVR
700048,SVR
700049,SVR
700050,SVR
700051,SVR
700052,SVR
700053,SVR
700054,SVR
700055,SVR
700056,SVR
700057,SVR
700058,SVR
700059,SVR
700060,SVR
700061,SVR
700062,SVR
700063,SVR
700064,SVR
700065,SVR
700066,SVR
700067,SVR
700068,SVR
700069,SVR
700070,SVR
700071,SVR
700072,SVR
700073,SVR
700074,SVR
700075,SVR
700076,SVR
700077,SVR
700078,SVR
700079,SVR
700080,SVR
700081,SVR
700082,SVR
700083,SVR
700084,SVR
700085,SVR
700086,SVR
700087,SVR
700088,SVR
700089,SVR
700090,SVR
700091,SVR
700092,SVR
700093,SVR
700094,SVR
700095,SVR
700096,SVR
700097,SVR
700098,SVR
700099,SVR
700100,SVR
700101,SVR
700102,SVR
700103,SVR
700104,SVR
700105,SVR
700106,SVR
700107,SVR
700108,SVR
700109,SVR
700110,SVR
700111,SVR
700112,SVR
700113,SVR
700114,SVR
700115,SVR
700116,SVR
700117,SVR
700118,SVR
700119,SVR
700120,SVR
700121,SVR
700122,SVR
700123,SVR
700124,SVR
700125,SVR
700126,SVR
700127,SVR
700128,SVR
700129,SVR
700130,SVR
700131,SVR
700132,SVR
700133,SVR
700134,SVR
700135,SVR
700136,SVR
700137,SVR
700138,SVR
700139,SVR
700140,SVR
700141,SVR
700142,SVR
700143,SVR
700144,SVR
700145,SVR
700146,SVR
700147,SVR
700148,SVR
700149,SVR
700150,SVR
