assetId,assetTypeCode
400001,SVR
400002,SVR
400003,SVR
400004,SVR
400005,SVR
400006,SVR
400007,SVR
400008,SVR
400009,SVR
400010,SVR
400011,SVR
400012,SVR
400013,SVR
400014,SVR
400015,SVR
400016,SVR
400017,SVR
400018,SVR
400019,SVR
400020,SVR
400021,SVR
400022,SVR
400023,SVR
400024,SVR
400025,SVR
400026,SVR
400027,SVR
400028,SVR
400029,SVR
400030,SVR
400031,SVR
400032,SVR
400033,SVR
400034,SVR
400035,SVR
400036,SVR
400037,SVR
400038,SVR
400039,SVR
400040,SVR
400041,SVR
400042,SVR
400043,SVR
400044,SVR
400045,SVR
400046,SVR
400047,SVR
400048,SVR
400049,SVR
400050,SVR
400051,SVR
400052,SVR
400053,SVR
400054,SVR
400055,SVR
400056,SVR
400057,SVR
400058,SVR
400059,SVR
400060,SVR
400061,SVR
400062,SVR
400063,SVR
400064,SVR
400065,SVR
400066,SVR
400067,SVR
400068,SVR
400069,SVR
400070,SVR
400071,SVR
400072,SVR
400073,SVR
400074,SVR
400075,SVR
400076,SVR
400077,SVR
400078,SVR
400079,SVR
400080,SVR
400081,SVR
400082,SVR
400083,SVR
400084,SVR
400085,SVR
400086,SVR
400087,SVR
400088,SVR
400089,SVR
400090,SVR
400091,SVR
400092,SVR
400093,SVR
400094,SVR
400095,SVR
400096,SVR
400097,SVR
400098,SVR
400099,SVR
400100,SVR
400101,SVR
400102,SVR
400103,SVR
400104,SVR
400105,SVR
400106,SVR
400107,SVR
400108,SVR
400109,SVR
400110,SVR
400111,SVR
400112,SVR
400113,SVR
400114,SVR
400115,SVR
400116,SVR
400117,SVR
400118,SVR
400119,SVR
400120,SVR
400121,SVR
400122,SVR
400123,SVR
400124,SVR
400125,SVR
400126,SVR
400127,SVR
400128,SVR
400129,SVR
400130,SVR
400131,SVR
400132,SVR
400133,SVR
400134,SVR
400135,SVR
400136,SVR
400137,SVR
400138,SVR
400139,SVR
400140,SVR
400141,SVR
400142,SVR
400143,SVR
400144,SVR
400145,SVR
400146,SVR
400147,SVR
400148,SVR
400149,SVR
400150,SVR
400151,SVR
400152,SVR
400153,SVR
400154,SVR
400155,SVR
400156,SVR
400157,SVR
400158,SVR
400159,SVR
400160,SVR
400161,SVR
400162,SVR
400163,SVR
400164,SVR
400165,SVR
400166,SVR
400167,SVR
400168,SVR
400169,SVR
400170,SVR
400171,SVR
400172,SVR
400173,SVR
400174,SVR
400175,SVR
400176,SVR
400177,SVR
400178,SVR
400179,SVR
400180,SVR
400181,SVR
400182,SVR
400183,SVR
400184,SVR
400185,SVR
400186,SVR
400187,SVR
400188,SVR
400189,SVR
400190,SVR
400191,SVR
400192,SVR
400193,SVR
400194,SVR
400195,SVR
400196,SVR
400197,SVR
400198,SVR
400199,SVR
400200,SVR
400201,SVR
400202,SVR
400203,SVR
400204,SVR
400205,SVR
400206,SVR
400207,SVR
400208,SVR
400209,SVR
400210,SVR
400211,SVR
400212,SVR
400213,SVR
400214,SVR
400215,SVR
400216,SVR
400217,SVR
400218,SVR
400219,SVR
400220,SVR
400221,SVR
400222,SVR
400223,SVR
400224,SVR
400225,SVR
400226,SVR
400227,SVR
400228,SVR
400229,SVR
400230,SVR
400231,SVR
400232,SVR
400233,SVR
400234,SVR
400235,SVR
400236,SVR
400237,SVR
400238,SVR
400239,SVR
400240,SVR
400241,SVR
400242,SVR
400243,SVR
400244,SVR
400245,SVR
400246,SVR
400247,SVR
400248,SVR
400249,SVR
400250,SVR
400251,SVR
400252,SVR
400253,SVR
400254,SVR
400255,SVR
400256,SVR
400257,SVR
400258,SVR
400259,SVR
400260,SVR
400261,SVR
400262,SVR
400263,SVR
400264,SVR
400265,SVR
400266,SVR
400267,SVR
400268,SVR
400269,SVR
400270,SVR
400271,SVR
400272,SVR
400273,SVR
400274,SVR
400275,SVR
400276,SVR
400277,SVR
400278,SVR
400279,SVR
400280,SVR
400281,SVR
400282,SVR
400283,SVR
400284,SVR
400285,SVR
400286,SVR
400287,SVR
400288,SVR
400289,SVR
400290,SVR
400291,SVR
400292,SVR
400293,SVR
400294,SVR
400295,SVR
400296,SVR
400297,SVR
400298,SVR
400299,SVR
400300,SVR
400301,SVR
400302,SVR
400303,SVR
400304,SVR
400305,SVR
400306,SVR
400307,SVR
400308,SVR
400309,SVR
400310,SVR
400311,SVR
400312,SVR
400313,SVR
400314,SVR
400315,SVR
400316,SVR
400317,SVR
400318,SVR
400319,SVR
400320,SVR
400321,SVR
400322,SVR
400323,SVR
400324,SVR
400325,SVR
400326,SVR
400327,SVR
400328,SVR
400329,SVR
400330,SVR
400331,SVR
400332,SVR
400333,SVR
400334,SVR
400335,SVR
400336,SVR
400337,SVR
400338,SVR
400339,SVR
400340,SVR
400341,SVR
400342,SVR
400343,SVR
400344,SVR
400345,SVR
400346,SVR
400347,SVR
400348,SVR
400349,SVR
400350,SVR
400351,SVR
400352,SVR
400353,SVR
400354,SVR
400355,SVR
400356,SVR
400357,SVR
400358,SVR
400359,SVR
400360,SVR
400361,SVR
400362,SVR
400363,SVR
400364,SVR
400365,SVR
400366,SVR
400367,SVR
400368,SVR
400369,SVR
400370,SVR
400371,SVR
400372,SVR
400373,SVR
400374,SVR
400375,SVR
400376,SVR
400377,SVR
400378,SVR
400379,SVR
400380,SVR
400381,SVR
400382,SVR
400383,SVR
400384,SVR
400385,SVR
400386,SVR
400387,SVR
400388,SVR
400389,SVR
400390,SVR
400391,SVR
400392,SVR
400393,SVR
400394,SVR
400395,SVR
400396,SVR
400397,SVR
400398,SVR
400399,SVR
400400,SVR
400401,SVR
400402,SVR
400403,SVR
400404,SVR
400405,SVR
400406,SVR
400407,SVR
400408,SVR
400409,SVR
400410,SVR
400411,SVR
400412,SVR
400413,SVR
400414,SVR
400415,SVR
400416,SVR
400417,SVR
400418,SVR
400419,SVR
400420,SVR
400421,SVR
400422,SVR
400423,SVR
400424,SVR
400425,SVR
400426,SVR
400427,SVR
400428,SVR
400429,SVR
400430,SVR
400431,SVR
400432,SVR
400433,SVR
400434,SVR
400435,SVR
400436,SVR
400437,SVR
400438,SVR
400439,SVR
400440,SVR
400441,SVR
400442,SVR
400443,SVR
400444,SVR
400445,SVR
400446,SVR
400447,SVR
400448,SVR
400449,SVR
400450,SVR
400451,SVR
400452,SVR
400453,SVR
400454,SVR
400455,SVR
400456,SVR
400457,SVR
400458,SVR
400459,SVR
400460,SVR
400461,SVR
400462,SVR
