assetId,assetTypeCode
2600001,SVR
2600002,SVR
2600003,SVR
2600004,SVR
2600005,SVR
2600006,SVR
2600007,SVR
2600008,SVR
2600009,SVR
2600010,SVR
2600011,SVR
2600012,SVR
2600013,SVR
2600014,SVR
2600015,SVR
2600016,SVR
2600017,SVR
2600018,SVR
2600019,SVR
2600020,SVR
2600021,SVR
2600022,SVR
2600023,SVR
2600024,SVR
2600025,SVR
2600026,SVR
2600027,SVR
2600028,SVR
2600029,SVR
2600030,SVR
2600031,SVR
2600032,SVR
2600033,SVR
2600034,SVR
2600035,SVR
2600036,SVR
2600037,SVR
2600038,SVR
2600039,SVR
2600040,SVR
2600041,SVR
2600042,SVR
2600043,SVR
2600044,SVR
2600045,SVR
2600046,SVR
2600047,SVR
2600048,SVR
2600049,SVR
2600050,SVR
2600051,SVR
2600052,SVR
2600053,SVR
2600054,SVR
2600055,SVR
2600056,SVR
2600057,SVR
2600058,SVR
2600059,SVR
2600060,SVR
2600061,SVR
2600062,SVR
2600063,SVR
2600064,SVR
2600065,SVR
2600066,SVR
2600067,SVR
2600068,SVR
2600069,SVR
2600070,SVR
2600071,SVR
2600072,SVR
2600073,SVR
2600074,SVR
2600075,SVR
2600076,SVR
2600077,SVR
2600078,SVR
2600079,SVR
2600080,SVR
2600081,SVR
2600082,SVR
2600083,SVR
2600084,SVR
2600085,SVR
2600086,SVR
2600087,SVR
2600088,SVR
2600089,SVR
2600090,SVR
2600091,SVR
2600092,SVR
2600093,SVR
2600094,SVR
2600095,SVR
2600096,SVR
2600097,SVR
2600098,SVR
2600099,SVR
2600100,SVR
2600101,SVR
2600102,SVR
2600103,SVR
2600104,SVR
2600105,SVR
2600106,SVR
2600107,SVR
2600108,SVR
2600109,SVR
2600110,SVR
2600111,SVR
2600112,SVR
2600113,SVR
2600114,SVR
2600115,SVR
2600116,SVR
2600117,SVR
2600118,SVR
2600119,SVR
2600120,SVR
2600121,SVR
2600122,SVR
2600123,SVR
2600124,SVR
2600125,SVR
2600126,SVR
2600127,SVR
2600128,SVR
2600129,SVR
2600130,SVR
2600131,SVR
2600132,SVR
2600133,SVR
2600134,SVR
2600135,SVR
2600136,SVR
2600137,SVR
2600138,SVR
2600139,SVR
2600140,SVR
2600141,SVR
2600142,SVR
2600143,SVR
2600144,SVR
2600145,SVR
2600146,SVR
2600147,SVR
2600148,SVR
2600149,SVR
2600150,SVR
2600151,SVR
2600152,SVR
2600153,SVR
2600154,SVR
2600155,SVR
2600156,SVR
2600157,SVR
2600158,SVR
2600159,SVR
2600160,SVR
2600161,SVR
2600162,SVR
2600163,SVR
2600164,SVR
2600165,SVR
2600166,SVR
2600167,SVR
2600168,SVR
2600169,SVR
2600170,SVR
2600171,SVR
2600172,SVR
2600173,SVR
2600174,SVR
2600175,SVR
2600176,SVR
2600177,SVR
2600178,SVR
2600179,SVR
2600180,SVR
2600181,SVR
2600182,SVR
2600183,SVR
2600184,SVR
2600185,SVR
2600186,SVR
2600187,SVR
2600188,SVR
2600189,SVR
2600190,SVR
2600191,SVR
2600192,SVR
2600193,SVR
2600194,SVR
2600195,SVR
2600196,SVR
2600197,SVR
2600198,SVR
2600199,SVR
2600200,SVR
2600201,SVR
2600202,SVR
2600203,SVR
2600204,SVR
2600205,SVR
2600206,SVR
2600207,SVR
2600208,SVR
2600209,SVR
2600210,SVR
2600211,SVR
2600212,SVR
2600213,SVR
2600214,SVR
2600215,SVR
2600216,SVR
2600217,SVR
2600218,SVR
2600219,SVR
2600220,SVR
2600221,SVR
2600222,SVR
2600223,SVR
2600224,SVR
2600225,SVR
2600226,SVR
2600227,SVR
2600228,SVR
2600229,SVR
2600230,SVR
2600231,SVR
2600232,SVR
2600233,SVR
2600234,SVR
2600235,SVR
2600236,SVR
2600237,SVR
2600238,SVR
2600239,SVR
2600240,SVR
2600241,SVR
2600242,SVR
2600243,SVR
2600244,SVR
2600245,SVR
2600246,SVR
2600247,SVR
2600248,SVR
2600249,SVR
2600250,SVR
2600251,SVR
2600252,SVR
2600253,SVR
2600254,SVR
2600255,SVR
2600256,SVR
2600257,SVR
2600258,SVR
2600259,SVR
2600260,SVR
2600261,SVR
2600262,SVR
2600263,SVR
2600264,SVR
2600265,SVR
2600266,SVR
2600267,SVR
2600268,SVR
2600269,SVR
2600270,SVR
2600271,SVR
2600272,SVR
2600273,SVR
2600274,SVR
2600275,SVR
2600276,SVR
2600277,SVR
2600278,SVR
2600279,SVR
2600280,SVR
2600281,SVR
2600282,SVR
2600283,SVR
2600284,SVR
2600285,SVR
2600286,SVR
2600287,SVR
2600288,SVR
2600289,SVR
2600290,SVR
2600291,SVR
2600292,SVR
2600293,SVR
2600294,SVR
2600295,SVR
2600296,SVR
2600297,SVR
2600298,SVR
2600299,SVR
2600300,SVR
2600301,SVR
2600302,SVR
2600303,SVR
2600304,SVR
2600305,SVR
2600306,SVR
2600307,SVR
2600308,SVR
2600309,SVR
2600310,SVR
2600311,SVR
2600312,SVR
2600313,SVR
2600314,SVR
2600315,SVR
2600316,SVR
2600317,SVR
2600318,SVR
2600319,SVR
2600320,SVR
2600321,SVR
2600322,SVR
2600323,SVR
2600324,SVR
2600325,SVR
2600326,SVR
2600327,SVR
2600328,SVR
2600329,SVR
2600330,SVR
2600331,SVR
2600332,SVR
2600333,SVR
2600334,SVR
2600335,SVR
2600336,SVR
2600337,SVR
2600338,SVR
2600339,SVR
2600340,SVR
2600341,SVR
2600342,SVR
2600343,SVR
2600344,SVR
2600345,SVR
2600346,SVR
2600347,SVR
2600348,SVR
2600349,SVR
2600350,SVR
2600351,SVR
2600352,SVR
2600353,SVR
2600354,SVR
2600355,SVR
2600356,SVR
2600357,SVR
2600358,SVR
2600359,SVR
2600360,SVR
2600361,SVR
2600362,SVR
2600363,SVR
2600364,SVR
2600365,SVR
2600366,SVR
2600367,SVR
2600368,SVR
2600369,SVR
2600370,SVR
2600371,SVR
2600372,SVR
2600373,SVR
2600374,SVR
2600375,SVR
2600376,SVR
2600377,SVR
2600378,SVR
2600379,SVR
2600380,SVR
2600381,SVR
2600382,SVR
2600383,SVR
2600384,SVR
2600385,SVR
2600386,SVR
2600387,SVR
2600388,SVR
2600389,SVR
2600390,SVR
2600391,SVR
2600392,SVR
2600393,SVR
2600394,SVR
2600395,SVR
2600396,SVR
2600397,SVR
2600398,SVR
2600399,SVR
2600400,SVR
2600401,SVR
2600402,SVR
2600403,SVR
2600404,SVR
2600405,SVR
2600406,SVR
2600407,SVR
2600408,SVR
2600409,SVR
2600410,SVR
2600411,SVR
2600412,SVR
2600413,SVR
2600414,SVR
2600415,SVR
2600416,SVR
2600417,SVR
2600418,SVR
2600419,SVR
2600420,SVR
2600421,SVR
2600422,SVR
2600423,SVR
2600424,SVR
2600425,SVR
2600426,SVR
2600427,SVR
2600428,SVR
2600429,SVR
2600430,SVR
2600431,SVR
2600432,SVR
2600433,SVR
2600434,SVR
2600435,SVR
2600436,SVR
2600437,SVR
2600438,SVR
2600439,SVR
2600440,SVR
2600441,SVR
2600442,SVR
2600443,SVR
2600444,SVR
2600445,SVR
2600446,SVR
2600447,SVR
2600448,SVR
2600449,SVR
2600450,SVR
2600451,SVR
2600452,SVR
2600453,SVR
2600454,SVR
2600455,SVR
2600456,SVR
2600457,SVR
2600458,SVR
2600459,SVR
2600460,SVR
2600461,SVR
2600462,SVR
2600463,SVR
2600464,SVR
2600465,SVR
2600466,SVR
2600467,SVR
2600468,SVR
2600469,SVR
2600470,SVR
2600471,SVR
2600472,SVR
2600473,SVR
2600474,SVR
2600475,SVR
2600476,SVR
2600477,SVR
2600478,SVR
2600479,SVR
2600480,SVR
2600481,SVR
2600482,SVR
2600483,SVR
2600484,SVR
2600485,SVR
2600486,SVR
2600487,SVR
2600488,SVR
2600489,SVR
2600490,SVR
2600491,SVR
2600492,SVR
2600493,SVR
2600494,SVR
2600495,SVR
2600496,SVR
2600497,SVR
2600498,SVR
2600499,SVR
2600500,SVR
2600501,SVR
2600502,SVR
2600503,SVR
2600504,SVR
2600505,SVR
2600506,SVR
2600507,SVR
2600508,SVR
2600509,SVR
2600510,SVR
2600511,SVR
2600512,SVR
2600513,SVR
2600514,SVR
2600515,SVR
2600516,SVR
2600517,SVR
2600518,SVR
2600519,SVR
2600520,SVR
2600521,SVR
2600522,SVR
2600523,SVR
2600524,SVR
2600525,SVR
2600526,SVR
2600527,SVR
2600528,SVR
2600529,SVR
2600530,SVR
2600531,SVR
2600532,SVR
2600533,SVR
2600534,SVR
2600535,SVR
2600536,SVR
2600537,SVR
2600538,SVR
2600539,SVR
2600540,SVR
2600541,SVR
2600542,SVR
2600543,SVR
2600544,SVR
2600545,SVR
2600546,SVR
2600547,SVR
2600548,SVR
2600549,SVR
2600550,SVR
2600551,SVR
2600552,SVR
2600553,SVR
2600554,SVR
2600555,SVR
2600556,SVR
2600557,SVR
2600558,SVR
2600559,SVR
2600560,SVR
2600561,SVR
2600562,SVR
2600563,SVR
2600564,SVR
2600565,SVR
2600566,SVR
2600567,SVR
2600568,SVR
2600569,SVR
2600570,SVR
2600571,SVR
2600572,SVR
2600573,SVR
2600574,SVR
2600575,SVR
2600576,SVR
2600577,SVR
2600578,SVR
2600579,SVR
2600580,SVR
2600581,SVR
2600582,SVR
2600583,SVR
2600584,SVR
2600585,SVR
2600586,SVR
2600587,SVR
2600588,SVR
2600589,SVR
2600590,SVR
2600591,SVR
2600592,SVR
2600593,SVR
2600594,SVR
2600595,SVR
2600596,SVR
2600597,SVR
2600598,SVR
2600599,SVR
2600600,SVR
2600601,SVR
2600602,SVR
2600603,SVR
2600604,SVR
2600605,SVR
2600606,SVR
2600607,SVR
2600608,SVR
2600609,SVR
2600610,SVR
2600611,SVR
2600612,SVR
2600613,SVR
2600614,SVR
2600615,SVR
2600616,SVR
2600617,SVR
2600618,SVR
2600619,SVR
2600620,SVR
2600621,SVR
2600622,SVR
2600623,SVR
2600624,SVR
2600625,SVR
2600626,SVR
2600627,SVR
2600628,SVR
2600629,SVR
2600630,SVR
2600631,SVR
2600632,SVR
2600633,SVR
2600634,SVR
2600635,SVR
2600636,SVR
2600637,SVR
2600638,SVR
2600639,SVR
2600640,SVR
2600641,SVR
2600642,SVR
2600643,SVR
2600644,SVR
2600645,SVR
2600646,SVR
2600647,SVR
2600648,SVR
2600649,SVR
2600650,SVR
2600651,SVR
2600652,SVR
2600653,SVR
2600654,SVR
2600655,SVR
2600656,SVR
2600657,SVR
2600658,SVR
2600659,SVR
2600660,SVR
2600661,SVR
2600662,SVR
2600663,SVR
2600664,SVR
2600665,SVR
2600666,SVR
2600667,SVR
2600668,SVR
2600669,SVR
2600670,SVR
2600671,SVR
2600672,SVR
2600673,SVR
2600674,SVR
2600675,SVR
2600676,SVR
2600677,SVR
2600678,SVR
2600679,SVR
2600680,SVR
2600681,SVR
2600682,SVR
2600683,SVR
2600684,SVR
2600685,SVR
2600686,SVR
2600687,SVR
2600688,SVR
2600689,SVR
2600690,SVR
2600691,SVR
2600692,SVR
2600693,SVR
2600694,SVR
2600695,SVR
2600696,SVR
2600697,SVR
2600698,SVR
2600699,SVR
2600700,SVR
2600701,SVR
2600702,SVR
2600703,SVR
2600704,SVR
2600705,SVR
2600706,SVR
2600707,SVR
2600708,SVR
2600709,SVR
2600710,SVR
2600711,SVR
2600712,SVR
2600713,SVR
2600714,SVR
