assetId,assetTypeCode
1600001,SVR
1600002,SVR
1600003,SVR
1600004,SVR
1600005,SVR
1600006,SVR
1600007,SVR
1600008,SVR
1600009,SVR
1600010,SVR
1600011,SVR
1600012,SVR
1600013,SVR
1600014,SVR
1600015,SVR
1600016,SVR
1600017,SVR
1600018,SVR
1600019,SVR
1600020,SVR
1600021,SVR
1600022,SVR
1600023,SVR
1600024,SVR
1600025,SVR
1600026,SVR
1600027,SVR
1600028,SVR
1600029,SVR
1600030,SVR
1600031,SVR
1600032,SVR
1600033,SVR
1600034,SVR
1600035,SVR
1600036,SVR
1600037,SVR
1600038,SVR
1600039,SVR
1600040,SVR
1600041,SVR
1600042,SVR
1600043,SVR
1600044,SVR
1600045,SVR
1600046,SVR
1600047,SVR
1600048,SVR
1600049,SVR
1600050,SVR
1600051,SVR
1600052,SVR
1600053,SVR
1600054,SVR
1600055,SVR
1600056,SVR
1600057,SVR
1600058,SVR
1600059,SVR
1600060,SVR
1600061,SVR
1600062,SVR
1600063,SVR
1600064,SVR
1600065,SVR
1600066,SVR
1600067,SVR
1600068,SVR
1600069,SVR
1600070,SVR
1600071,SVR
1600072,SVR
1600073,SVR
1600074,SVR
1600075,SVR
1600076,SVR
1600077,SVR
1600078,SVR
1600079,SVR
1600080,SVR
1600081,SVR
1600082,SVR
1600083,SVR
1600084,SVR
1600085,SVR
1600086,SVR
1600087,SVR
1600088,SVR
1600089,SVR
1600090,SVR
1600091,SVR
1600092,SVR
1600093,SVR
1600094,SVR
1600095,SVR
1600096,SVR
1600097,SVR
1600098,SVR
1600099,SVR
1600100,SVR
1600101,SVR
1600102,SVR
1600103,SVR
1600104,SVR
1600105,SVR
1600106,SVR
1600107,SVR
1600108,SVR
1600109,SVR
1600110,SVR
1600111,SVR
1600112,SVR
1600113,SVR
1600114,SVR
1600115,SVR
1600116,SVR
1600117,SVR
1600118,SVR
1600119,SVR
1600120,SVR
1600121,SVR
1600122,SVR
1600123,SVR
1600124,SVR
1600125,SVR
1600126,SVR
1600127,SVR
1600128,SVR
1600129,SVR
1600130,SVR
1600131,SVR
1600132,SVR
1600133,SVR
1600134,SVR
1600135,SVR
1600136,SVR
1600137,SVR
1600138,SVR
1600139,SVR
1600140,SVR
1600141,SVR
1600142,SVR
1600143,SVR
1600144,SVR
1600145,SVR
1600146,SVR
1600147,SVR
1600148,SVR
1600149,SVR
1600150,SVR
1600151,SVR
1600152,SVR
1600153,SVR
1600154,SVR
1600155,SVR
1600156,SVR
1600157,SVR
1600158,SVR
1600159,SVR
1600160,SVR
1600161,SVR
1600162,SVR
1600163,SVR
1600164,SVR
1600165,SVR
1600166,SVR
1600167,SVR
1600168,SVR
1600169,SVR
1600170,SVR
1600171,SVR
1600172,SVR
1600173,SVR
1600174,SVR
1600175,SVR
1600176,SVR
1600177,SVR
1600178,SVR
1600179,SVR
1600180,SVR
1600181,SVR
1600182,SVR
1600183,SVR
1600184,SVR
1600185,SVR
1600186,SVR
1600187,SVR
1600188,SVR
1600189,SVR
1600190,SVR
1600191,SVR
1600192,SVR
1600193,SVR
1600194,SVR
1600195,SVR
1600196,SVR
1600197,SVR
1600198,SVR
1600199,SVR
1600200,SVR
1600201,SVR
1600202,SVR
1600203,SVR
1600204,SVR
1600205,SVR
1600206,SVR
1600207,SVR
1600208,SVR
1600209,SVR
1600210,SVR
1600211,SVR
1600212,SVR
1600213,SVR
1600214,SVR
1600215,SVR
1600216,SVR
1600217,SVR
1600218,SVR
1600219,SVR
1600220,SVR
1600221,SVR
1600222,SVR
1600223,SVR
1600224,SVR
1600225,SVR
1600226,SVR
1600227,SVR
1600228,SVR
1600229,SVR
1600230,SVR
1600231,SVR
1600232,SVR
1600233,SVR
1600234,SVR
1600235,SVR
1600236,SVR
1600237,SVR
1600238,SVR
1600239,SVR
1600240,SVR
1600241,SVR
1600242,SVR
1600243,SVR
1600244,SVR
1600245,SVR
1600246,SVR
1600247,SVR
1600248,SVR
1600249,SVR
1600250,SVR
1600251,SVR
1600252,SVR
1600253,SVR
1600254,SVR
1600255,SVR
1600256,SVR
1600257,SVR
1600258,SVR
1600259,SVR
1600260,SVR
1600261,SVR
1600262,SVR
1600263,SVR
1600264,SVR
1600265,SVR
1600266,SVR
1600267,SVR
1600268,SVR
1600269,SVR
1600270,SVR
1600271,SVR
1600272,SVR
1600273,SVR
1600274,SVR
1600275,SVR
1600276,SVR
1600277,SVR
1600278,SVR
1600279,SVR
1600280,SVR
1600281,SVR
1600282,SVR
1600283,SVR
1600284,SVR
1600285,SVR
1600286,SVR
1600287,SVR
1600288,SVR
1600289,SVR
1600290,SVR
1600291,SVR
1600292,SVR
1600293,SVR
1600294,SVR
1600295,SVR
1600296,SVR
1600297,SVR
1600298,SVR
1600299,SVR
1600300,SVR
1600301,SVR
1600302,SVR
1600303,SVR
1600304,SVR
1600305,SVR
1600306,SVR
1600307,SVR
1600308,SVR
1600309,SVR
1600310,SVR
1600311,SVR
1600312,SVR
1600313,SVR
1600314,SVR
1600315,SVR
1600316,SVR
1600317,SVR
1600318,SVR
1600319,SVR
1600320,SVR
1600321,SVR
1600322,SVR
1600323,SVR
1600324,SVR
1600325,SVR
1600326,SVR
1600327,SVR
1600328,SVR
1600329,SVR
1600330,SVR
1600331,SVR
1600332,SVR
1600333,SVR
1600334,SVR
1600335,SVR
1600336,SVR
1600337,SVR
1600338,SVR
1600339,SVR
1600340,SVR
1600341,SVR
1600342,SVR
1600343,SVR
1600344,SVR
1600345,SVR
1600346,SVR
1600347,SVR
1600348,SVR
1600349,SVR
1600350,SVR
1600351,SVR
1600352,SVR
1600353,SVR
1600354,SVR
1600355,SVR
1600356,SVR
1600357,SVR
1600358,SVR
1600359,SVR
1600360,SVR
1600361,SVR
1600362,SVR
1600363,SVR
1600364,SVR
1600365,SVR
1600366,SVR
1600367,SVR
1600368,SVR
1600369,SVR
1600370,SVR
1600371,SVR
1600372,SVR
